City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
158,Tura,25.5198,90.2201,71.76,97,100,3.06,IN,2021-05-31 21:53:13
159,Pastavy,55.1168,26.8326,45.43,74,99,5.39,BY,2021-05-31 21:53:13
160,Belyy Yar,53.6039,91.3903,39.09,87,0,3.74,RU,2021-05-31 21:53:14
161,Vostok,46.4856,135.8833,52.93,65,36,1.45,RU,2021-05-31 21:53:14
162,Cabo San Lucas,22.8909,-109.9124,97.52,54,0,9.22,MX,2021-05-31 21:50:56
163,Darnah,32.767,22.6367,69.12,81,22,14.41,LY,2021-05-31 21:53:15
164,Isabela,6.7085,121.9711,77.05,88,100,2.57,PH,2021-05-31 21:53:15
165,Loandjili,-4.7561,11.8578,78.91,89,20,4.61,CG,2021-05-31 21:53:15
166,Ancud,-41.8697,-73.8203,58.53,98,100,15.05,CL,2021-05-31 21:53:16
167,San Quintin,30.4833,-115.95,65.82,63,2,10.47,MX,2021-05-31 21:53:16
168,Chengde,40.9725,117.9361,53.98,86,34,2.66,CN,2021-05-31 21:53:16
169,Sisak,45.4661,16.3783,59.18,86,29,2.48,HR,2021-05-31 21:53:17
170,Rizoma,39.665,21.735,60.84,83,61,1.9,GR,2021-05-31 21:53:17
171,Businga,3.3333,20.8833,72.19,95,95,1.57,CD,2021-05-31 21:53:17
172,Saint George,37.1041,-113.5841,98.64,8,1,3.0,US,2021-05-31 21:53:18
173,Gafanha Da Encarnacao,40.6181,-8.733,64.89,81,72,6.2,PT,2021-05-31 21:53:18
174,Terrace,54.5163,-128.6035,57.11,100,90,5.75,CA,2021-05-31 21:53:18
175,Valparaiso,-33.0393,-71.6273,78.44,36,0,17.27,CL,2021-05-31 21:53:10
176,Riyadh,24.6877,46.7219,93.25,13,0,4.61,SA,2021-05-31 21:53:19
